gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
19,2022-04-03,Sun,12:00 (04:00),Manchester Utd,Brighton,1,,1–0,1.2,0.6,Leigh Sports Village Stadium,1524,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/0975db2a/Manchester-United-Brighton-and-Hove-Albion-April-3-2022-Womens-Super-League
19,2022-04-03,Sun,12:30 (04:30),Leicester City,Arsenal,,5,0–5,0.2,3.1,King Power Stadium,2158,Rebecca Welch,completed,away_win,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/631f7041/Leicester-City-Arsenal-April-3-2022-Womens-Super-League
19,2022-04-03,Sun,14:00 (06:00),Tottenham,Aston Villa,,1,0–1,0.5,0.2,The Hive Stadium,508,Richie Watkins,completed,away_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/matches/53983bb1/Tottenham-Aston-Villa-April-3-2022-Womens-Super-League
19,2022-04-03,Sun,18:45 (10:45),Chelsea,Reading,5,,5–0,3.0,0.1,Cherry Red Records Fans' Stadium,2485,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/ca9fa4b7/Chelsea-Reading-April-3-2022-Womens-Super-League
20,2022-04-23,Sat,14:00 (06:00),Brighton,Birmingham City,1,3,1–3,1.2,0.6,The People’s Pension Stadium,1206,Naguy Maertens,completed,away_win,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/matches/3e0f9d74/Brighton-and-Hove-Albion-Birmingham-City-April-23-2022-Womens-Super-League
20,2022-04-24,Sun,14:00 (06:00),Reading,West Ham,1,2,1–2,0.6,2.2,Select Car Leasing Stadium,600,Tom Reeves,completed,away_win,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/matches/b11288af/Reading-West-Ham-United-April-24-2022-Womens-Super-League
20,2022-04-24,Sun,14:00 (06:00),Manchester City,Leicester City,4,,4–0,2.6,0.1,Academy Stadium,1895,Louise Saunders,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/matches/b4def2eb/Manchester-City-Leicester-City-April-24-2022-Womens-Super-League
20,2022-04-24,Sun,14:30 (06:30),Tottenham,Chelsea,1,3,1–3,0.3,1.3,The Hive Stadium,2161,Lisa Benn,completed,away_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/d776dc32/Tottenham-Chelsea-April-24-2022-Womens-Super-League
20,2022-04-24,Sun,18:00 (10:00),Aston Villa,Manchester Utd,,,0–0,0.2,2.0,The Banks's Stadium,941,Emily Heaslip,completed,draw,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/matches/528e5a91/Aston-Villa-Manchester-United-April-24-2022-Womens-Super-League
20,2022-04-24,Sun,18:45 (10:45),Everton,Arsenal,,3,0–3,0.1,1.9,Walton Hall Park,583,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/228fdfa6/Everton-Arsenal-April-24-2022-Womens-Super-League
