season,gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
2023-2024,12,2024-01-09,Tue,21:00 (12:00),Paris S-G,Lille,6,,6–0,2.9,1.1,Training Center Paris Saint Germain N°5,900,Charlène Laur,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/74b3ec95/Paris-Saint-Germain-Lille-January-9-2024-Division-1-Feminine
2023-2024,12,2024-01-10,Wed,18:30 (09:30),Guingamp,Montpellier,,1,0–1,0.7,0.9,Stade Centre Formation EAG 1,285,Céline Jeannot,completed,away_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/1a7b35dd/Guingamp-Montpellier-January-10-2024-Division-1-Feminine
2023-2024,12,2024-01-10,Wed,18:30 (09:30),Dijon,Fleury,,5,0–5,1.2,3.0,Stade Gaston Gérard,492,Clémence Goncalves,completed,away_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/7882f12e/Dijon-Fleury-January-10-2024-Division-1-Feminine
2023-2024,12,2024-01-10,Wed,21:00 (12:00),Lyon,Paris FC,1,,1–0,0.8,0.2,Stade Gérard Houillier 1,625,Alexandra Collin,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/a60ea90c/Olympique-Lyonnais-Paris-FC-January-10-2024-Division-1-Feminine
2023-2024,4,2024-01-17,Wed,21:00 (12:00),Paris S-G,Stade de Reims,4,,4–0,4.8,0.1,Training Center Paris Saint Germain N°5,328,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/776af923/Paris-Saint-Germain-Stade-de-Reims-January-17-2024-Division-1-Feminine
2023-2024,13,2024-01-20,Sat,14:30 (05:30),Lille,Dijon,2,2,2–2,1.5,1.4,Stadium Lille Métropole - Terrain Annexe,1020,Victoria Beyer,completed,draw,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/8d8d72c7/Lille-Dijon-January-20-2024-Division-1-Feminine
2023-2024,13,2024-01-20,Sat,14:30 (05:30),Stade de Reims,Guingamp,1,,1–0,2.1,1.0,Stade Louis Blériot N°1,50,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/42962a0c/Stade-de-Reims-Guingamp-January-20-2024-Division-1-Feminine
2023-2024,13,2024-01-20,Sat,16:00 (07:00),Paris S-G,Bordeaux,8,1,8–1,7.0,0.9,Training Center Paris Saint Germain N°5,516,Romy Fournier,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/4d5a34fc/Paris-Saint-Germain-Bordeaux-January-20-2024-Division-1-Feminine
2023-2024,13,2024-01-21,Sun,14:30 (05:30),Saint-Étienne,Fleury,1,,1–0,1.2,0.7,Stade Salif Keita,165,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/076542d6/Saint-Etienne-Fleury-January-21-2024-Division-1-Feminine
2023-2024,13,2024-01-21,Sun,21:00 (12:00),Montpellier,Lyon,1,2,1–2,1.2,2.7,Stade Bernard Gasset Terrain n°7,713,Maika Vanderstichel,completed,away_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/93df4d64/Montpellier-Olympique-Lyonnais-January-21-2024-Division-1-Feminine
2023-2024,14,2024-02-02,Fri,21:00 (12:00),Fleury,Paris S-G,1,1,1–1,0.4,2.6,Stade Robert Bobin,3218,Victoria Beyer,completed,draw,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/71b5645c/Fleury-Paris-Saint-Germain-February-2-2024-Division-1-Feminine
2023-2024,14,2024-02-03,Sat,13:00 (04:00),Le Havre,Saint-Étienne,4,2,4–2,1.9,0.5,Stade Océane,742,Clémence Goncalves,completed,home_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/fe372dc6/Le-Havre-Saint-Etienne-February-3-2024-Division-1-Feminine
2023-2024,14,2024-02-03,Sat,14:30 (05:30),Dijon,Montpellier,1,,1–0,1.0,0.6,Stade Gaston Gérard,434,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/387721c4/Dijon-Montpellier-February-3-2024-Division-1-Feminine
2023-2024,14,2024-02-03,Sat,14:30 (05:30),Lyon,Stade de Reims,4,1,4–1,3.1,0.5,Stade Gérard Houillier 1,738,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/2128a84d/Olympique-Lyonnais-Stade-de-Reims-February-3-2024-Division-1-Feminine
2023-2024,14,2024-02-03,Sat,14:30 (05:30),Bordeaux,Guingamp,1,1,1–1,2.2,0.4,Stade Sainte-Germaine,748,Charlène Laur,completed,draw,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/90432cab/Bordeaux-Guingamp-February-3-2024-Division-1-Feminine
2023-2024,14,2024-02-04,Sun,21:00 (12:00),Paris FC,Lille,3,2,3–2,3.4,0.8,Stade Sébastien Charléty,717,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/61dab85a/Paris-FC-Lille-February-4-2024-Division-1-Feminine
2023-2024,15,2024-02-09,Fri,21:00 (12:00),Stade de Reims,Montpellier,,3,0–3,0.3,3.3,Stade Auguste-Delaune,477,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/eb852312/Stade-de-Reims-Montpellier-February-9-2024-Division-1-Feminine
2023-2024,15,2024-02-10,Sat,13:30 (04:30),Bordeaux,Paris FC,2,6,2–6,1.8,3.2,Stade Sainte-Germaine,504,Céline Jeannot,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/ea51f3d2/Bordeaux-Paris-FC-February-10-2024-Division-1-Feminine
2023-2024,15,2024-02-10,Sat,14:30 (05:30),Saint-Étienne,Dijon,2,,2–0,3.8,0.2,Stade Salif Keita,148,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/c7ce03da/Saint-Etienne-Dijon-February-10-2024-Division-1-Feminine
2023-2024,15,2024-02-10,Sat,14:30 (05:30),Lille,Le Havre,3,3,3–3,1.5,2.1,Stadium Lille Métropole - Terrain Annexe,595,Maika Vanderstichel,completed,draw,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/889f2125/Lille-Le-Havre-February-10-2024-Division-1-Feminine
2023-2024,15,2024-02-10,Sat,14:30 (05:30),Guingamp,Fleury,3,1,3–1,1.8,1.6,Stade Centre Formation EAG 1,344,Romy Fournier,completed,home_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/ae5a9539/Guingamp-Fleury-February-10-2024-Division-1-Feminine
2023-2024,15,2024-02-11,Sun,21:00 (12:00),Lyon,Paris S-G,1,1,1–1,1.2,0.8,Groupama Stadium,21764,Clémence Goncalves,completed,draw,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/9aacb196/Olympique-Lyonnais-Paris-Saint-Germain-February-11-2024-Division-1-Feminine
2023-2024,6,2024-02-17,Sat,14:30 (05:30),Paris S-G,Guingamp,5,,5–0,3.0,0.2,Training Center Paris Saint Germain N°5,712,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/84d5369d/Paris-Saint-Germain-Guingamp-February-17-2024-Division-1-Feminine
2023-2024,12,2024-02-17,Sat,14:30 (05:30),Saint-Étienne,Stade de Reims,4,3,4–3,3.3,2.5,Stade Salif Keita,173,Maika Vanderstichel,completed,home_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/3a7daea1/Saint-Etienne-Stade-de-Reims-February-17-2024-Division-1-Feminine
2023-2024,12,2024-02-17,Sat,14:30 (05:30),Le Havre,Bordeaux,1,1,1–1,1.5,1.4,Stade Océane,866,Audrey Gerbel,completed,draw,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/8094b91c/Le-Havre-Bordeaux-February-17-2024-Division-1-Feminine
2023-2024,16,2024-03-02,Sat,13:30 (04:30),Fleury,Stade de Reims,1,,1–0,3.5,0.3,Stade Robert Bobin,65,Clémence Goncalves,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/21f97039/Fleury-Stade-de-Reims-March-2-2024-Division-1-Feminine
2023-2024,16,2024-03-02,Sat,14:30 (05:30),Paris S-G,Le Havre,4,,4–0,2.3,0.1,Training Center Paris Saint Germain N°5,556,Charlène Laur,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/0e4dd36e/Paris-Saint-Germain-Le-Havre-March-2-2024-Division-1-Feminine
2023-2024,16,2024-03-02,Sat,14:30 (05:30),Lille,Guingamp,,2,0–2,0.6,1.9,Stadium Lille Métropole,563,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/8c5fa536/Lille-Guingamp-March-2-2024-Division-1-Feminine
2023-2024,16,2024-03-02,Sat,14:30 (05:30),Montpellier,Bordeaux,2,1,2–1,2.4,0.4,Stade Bernard Gasset Terrain n°7,261,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/38fb65d5/Montpellier-Bordeaux-March-2-2024-Division-1-Feminine
2023-2024,16,2024-03-03,Sun,21:00 (12:00),Dijon,Lyon,1,3,1–3,0.3,3.2,Stade Gaston Gérard,1746,Audrey Gerbel,completed,away_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/9cc3b5dd/Dijon-Olympique-Lyonnais-March-3-2024-Division-1-Feminine
2023-2024,13,2024-03-06,Wed,18:30 (09:30),Paris FC,Le Havre,3,2,3–2,1.8,2.2,Stade Robert Bobin,111,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/512f91ca/Paris-FC-Le-Havre-March-6-2024-Division-1-Feminine
2023-2024,17,2024-03-15,Fri,21:00 (13:00),Lyon,Fleury,4,,4–0,1.4,0.1,Stade Gérard Houillier 1,519,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/542f2d0a/Olympique-Lyonnais-Fleury-March-15-2024-Division-1-Feminine
2023-2024,17,2024-03-16,Sat,14:00 (06:00),Guingamp,Paris FC,,4,0–4,1.0,2.9,Stade Centre Formation EAG 1,499,Romy Fournier,completed,away_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/1f1f6d6e/Guingamp-Paris-FC-March-16-2024-Division-1-Feminine
2023-2024,17,2024-03-16,Sat,14:30 (06:30),Paris S-G,Saint-Étienne,5,,5–0,2.6,0.1,Training Center Paris Saint Germain N°5,571,Céline Jeannot,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/743e597b/Paris-Saint-Germain-Saint-Etienne-March-16-2024-Division-1-Feminine
2023-2024,17,2024-03-16,Sat,14:30 (06:30),Stade de Reims,Lille,3,1,3–1,1.5,1.4,Stade Louis Blériot N°1,261,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/b8fb2c0d/Stade-de-Reims-Lille-March-16-2024-Division-1-Feminine
2023-2024,17,2024-03-16,Sat,14:30 (06:30),Bordeaux,Dijon,,2,0–2,0.4,0.9,Stade Sainte-Germaine,489,Charlène Laur,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/b032c1cb/Bordeaux-Dijon-March-16-2024-Division-1-Feminine
2023-2024,17,2024-03-17,Sun,21:00 (13:00),Le Havre,Montpellier,3,3,3–3,2.0,1.7,Stade Océane,954,Alexandra Collin,completed,draw,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/0022cb02/Le-Havre-Montpellier-March-17-2024-Division-1-Feminine
2023-2024,18,2024-03-22,Fri,21:00 (13:00),Fleury,Paris FC,2,1,2–1,1.8,1.5,Stade Robert Bobin,496,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/566651c0/Fleury-Paris-FC-March-22-2024-Division-1-Feminine
2023-2024,18,2024-03-23,Sat,13:30 (05:30),Lille,Lyon,,7,0–7,0.9,3.3,Stadium Lille Métropole,2418,Aurélie Efe,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/ec4be17c/Lille-Olympique-Lyonnais-March-23-2024-Division-1-Feminine
2023-2024,18,2024-03-23,Sat,14:00 (06:00),Dijon,Guingamp,2,,2–0,3.1,0.2,Stade Gaston Gérard,543,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/ac6c41ea/Dijon-Guingamp-March-23-2024-Division-1-Feminine
2023-2024,18,2024-03-23,Sat,14:30 (06:30),Le Havre,Stade de Reims,,2,0–2,1.6,1.1,Stade Océane,751,Clémence Goncalves,completed,away_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/a38b66da/Le-Havre-Stade-de-Reims-March-23-2024-Division-1-Feminine
2023-2024,18,2024-03-23,Sat,14:30 (06:30),Saint-Étienne,Bordeaux,1,,1–0,0.8,0.2,Stade Salif Keita,464,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/824c9939/Saint-Etienne-Bordeaux-March-23-2024-Division-1-Feminine
2023-2024,18,2024-03-24,Sun,21:00 (13:00),Montpellier,Paris S-G,1,3,1–3,0.8,1.0,Stade Bernard Gasset Terrain n°7,715,Maika Vanderstichel,completed,away_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/f331675a/Montpellier-Paris-Saint-Germain-March-24-2024-Division-1-Feminine
2023-2024,19,2024-03-29,Fri,21:00 (13:00),Paris FC,Montpellier,3,,3–0,1.9,1.1,Stade Jean-Bouin,1057,Clémence Goncalves,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/8ab760e3/Paris-FC-Montpellier-March-29-2024-Division-1-Feminine
2023-2024,19,2024-03-30,Sat,13:00 (05:00),Guingamp,Saint-Étienne,3,4,3–4,2.2,2.6,Stade Centre Formation EAG 1,280,Charlène Laur,completed,away_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/22381846/Guingamp-Saint-Etienne-March-30-2024-Division-1-Feminine
2023-2024,19,2024-03-30,Sat,14:30 (06:30),Fleury,Lille,2,2,2–2,3.7,0.7,Stade Robert Bobin,225,Romy Fournier,completed,draw,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/10933e5a/Fleury-Lille-March-30-2024-Division-1-Feminine
2023-2024,19,2024-03-30,Sat,14:30 (06:30),Stade de Reims,Bordeaux,3,,3–0,0.6,1.1,Stade Louis Blériot N°1,188,Céline Jeannot,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/a0c4c8c6/Stade-de-Reims-Bordeaux-March-30-2024-Division-1-Feminine
2023-2024,19,2024-03-31,Sun,14:30 (05:30),Paris S-G,Dijon,3,,3–0,2.5,0.2,Training Center Paris Saint Germain N°5,616,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/4c495f8d/Paris-Saint-Germain-Dijon-March-31-2024-Division-1-Feminine
2023-2024,19,2024-03-31,Sun,21:00 (12:00),Lyon,Le Havre,3,,3–0,3.3,0.0,Stade Gérard Houillier 1,1189,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/72eeab76/Olympique-Lyonnais-Le-Havre-March-31-2024-Division-1-Feminine
2023-2024,20,2024-04-12,Fri,21:00 (12:00),Paris FC,Stade de Reims,2,2,2–2,1.7,1.0,Stade Sébastien Charléty,1092,Elisa Daupeux,completed,draw,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/cda37874/Paris-FC-Stade-de-Reims-April-12-2024-Division-1-Feminine
2023-2024,20,2024-04-13,Sat,14:00 (05:00),Montpellier,Lille,1,2,1–2,0.9,1.1,Stade Bernard Gasset Terrain n°7,356,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/306161e8/Montpellier-Lille-April-13-2024-Division-1-Feminine
2023-2024,20,2024-04-13,Sat,14:00 (05:00),Guingamp,Paris S-G,3,3,3–3,1.3,1.3,Stade du Roudourou,3008,Céline Jeannot,completed,draw,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/e864e8e0/Guingamp-Paris-Saint-Germain-April-13-2024-Division-1-Feminine
2023-2024,20,2024-04-13,Sat,14:30 (05:30),Dijon,Le Havre,1,2,1–2,2.2,0.8,Stade Gaston Gérard,596,Maika Vanderstichel,completed,away_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/b45190ff/Dijon-Le-Havre-April-13-2024-Division-1-Feminine
2023-2024,20,2024-04-14,Sun,14:30 (05:30),Bordeaux,Fleury,,3,0–3,0.4,2.6,Stade Sainte-Germaine,699,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/76549049/Bordeaux-Fleury-April-14-2024-Division-1-Feminine
2023-2024,20,2024-04-14,Sun,21:00 (12:00),Saint-Étienne,Lyon,1,6,1–6,0.9,6.5,Stade Geoffroy-Guichard,4037,Victoria Beyer,completed,away_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/e1b247a8/Saint-Etienne-Olympique-Lyonnais-April-14-2024-Division-1-Feminine
2023-2024,16,2024-04-19,Fri,14:30 (05:30),Paris FC,Saint-Étienne,,1,0–1,1.1,0.6,Stade Robert Bobin,173,Céline Jeannot,completed,away_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/af223112/Paris-FC-Saint-Etienne-April-19-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Lille,Bordeaux,1,2,1–2,1.4,0.9,Stadium Lille Métropole - Terrain Annexe,928,Audrey Gerbel,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/3af21942/Lille-Bordeaux-April-24-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Montpellier,Saint-Étienne,4,,4–0,3.2,0.5,Stade Bernard Gasset Terrain n°7,461,Maika Vanderstichel,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/a174f40d/Montpellier-Saint-Etienne-April-24-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Dijon,Stade de Reims,1,1,1–1,1.0,2.2,Stade Gaston Gérard,549,Romy Fournier,completed,draw,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/b0df505b/Dijon-Stade-de-Reims-April-24-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Lyon,Guingamp,2,1,2–1,1.8,0.5,Stade Gérard Houillier 1,1334,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/0e35d346/Olympique-Lyonnais-Guingamp-April-24-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Paris S-G,Paris FC,1,1,1–1,0.4,2.1,Training Center Paris Saint Germain N°5,702,Victoria Beyer,completed,draw,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/0daec6df/Paris-Saint-Germain-Paris-FC-April-24-2024-Division-1-Feminine
2023-2024,21,2024-04-24,Wed,18:30 (09:30),Le Havre,Fleury,1,3,1–3,0.6,2.7,Stade Océane,1616,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/3f52f3ec/Le-Havre-Fleury-April-24-2024-Division-1-Feminine
2023-2024,22,2024-05-08,Wed,16:30 (07:30),Paris FC,Dijon,,1,0–1,0.2,0.6,Stade Sébastien Charléty,1551,Charlène Laur,completed,away_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/fd3ca499/Paris-FC-Dijon-May-8-2024-Division-1-Feminine
2023-2024,22,2024-05-08,Wed,16:30 (07:30),Saint-Étienne,Lille,1,1,1–1,1.6,1.2,Stade Salif Keita,578,Alexandra Collin,completed,draw,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/58fc9d1d/Saint-Etienne-Lille-May-8-2024-Division-1-Feminine
