gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
9,2022-12-03,Sat,12:30 (04:30),Manchester Utd,Aston Villa,5,,5–0,2.3,0.4,Old Trafford,30196,Louise Saunders,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/matches/625d157f/Manchester-United-Aston-Villa-December-3-2022-Womens-Super-League
9,2022-12-03,Sat,14:00 (06:00),Arsenal,Everton,1,,1–0,3.1,1.3,Meadow Park,3935,Sunny Gill,completed,home_win,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/matches/76b85438/Arsenal-Everton-December-3-2022-Womens-Super-League
9,2022-12-03,Sat,15:00 (07:00),Leicester City,Chelsea,,8,0–8,0.2,4.1,King Power Stadium,3023,Amy Fearn,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/faf0c772/Leicester-City-Chelsea-December-3-2022-Womens-Super-League
9,2022-12-04,Sun,12:30 (04:30),Reading,Tottenham,1,,1–0,1.3,0.9,Select Car Leasing Stadium,1052,Carl Brook,completed,home_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/f5134a50/Reading-Tottenham-December-4-2022-Womens-Super-League
9,2022-12-04,Sun,14:00 (06:00),Manchester City,Brighton,3,1,3–1,3.0,1.0,Academy Stadium,1696,Cheryl Foster,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/4f74da12/Manchester-City-Brighton-and-Hove-Albion-December-4-2022-Womens-Super-League
9,2022-12-04,Sun,14:00 (06:00),Liverpool,West Ham,2,,2–0,2.3,0.3,Prenton Park,1075,Neil Hair,completed,home_win,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/a720778e/Liverpool-West-Ham-United-December-4-2022-Womens-Super-League
10,2022-12-11,Sun,12:30 (04:30),Manchester City,Manchester Utd,1,1,1–1,1.6,1.1,Etihad Stadium,44259,Abigail Byrne,completed,draw,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/a13ecebb/Manchester-Derby-Manchester-City-Manchester-United-December-11-2022-Womens-Super-League
10,2022-12-11,Sun,14:00 (06:00),Tottenham,West Ham,,2,0–2,1.0,1.8,The Breyer Group Stadium,1391,Richie Watkins,completed,away_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/1fdcbb40/Tottenham-West-Ham-United-December-11-2022-Womens-Super-League
10,2022-12-11,Sun,16:15 (08:15),Aston Villa,Arsenal,1,4,1–4,0.5,1.7,Villa Park,6013,Paul Howard,completed,away_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/matches/386b56a6/Aston-Villa-Arsenal-December-11-2022-Womens-Super-League
10,2022-12-11,Sun,18:45 (10:45),Chelsea,Reading,3,2,3–2,2.0,0.9,Cherry Red Records Fans' Stadium,1184,Kirsty Dowle,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/3f3666a0/Chelsea-Reading-December-11-2022-Womens-Super-League
7,2022-12-14,Wed,19:00 (11:00),Tottenham,Everton,,3,0–3,0.4,1.3,The Breyer Group Stadium,303,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/matches/a9883c3d/Tottenham-Everton-December-14-2022-Womens-Super-League
